id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
601;3;17;14;17;19;14;16;14;14;16;16;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
602;3;17;15;16;18;17;17;17;17;17;16;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
603;4;16;15;16;19;13;12;12;13;16;16;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
604;4;16;13;14;19;14;13;14;13;15;15;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
605;4;16;12;13;15;11;12;11;13;16;11;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;2;Media
606;4;17;10;11;12;13;13;13;9;12;11;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
607;4;16;13;15;17;13;13;14;13;15;14;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
608;4;16;16;17;20;16;14;15;14;17;16;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
609;4;17;14;16;20;16;16;15;14;14;16;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
610;4;16;12;13;18;13;17;13;13;17;16;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
611;4;17;9;12;15;11;11;7;9;11;11;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;4;Media
612;4;16;13;15;19;15;15;14;16;15;14;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
613;4;17;12;14;19;14;14;10;14;13;12;2;0;1;5;1;Facil;Indiferente;2 horas;Indiferente;5;Media
614;4;16;12;15;19;15;14;13;15;14;13;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
615;4;17;13;15;19;14;15;15;13;15;13;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
616;4;16;12;14;19;14;15;12;15;17;13;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;5;Buena
617;4;17;14;15;19;15;14;14;15;14;14;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
618;4;16;12;14;20;14;14;12;14;12;13;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
619;4;16;13;14;20;14;13;11;13;15;15;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
620;4;17;12;13;19;14;15;14;15;12;13;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
621;4;16;12;12;17;15;16;15;14;18;13;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
622;4;16;14;17;20;14;13;14;13;14;14;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
623;4;16;13;16;20;15;14;15;15;14;14;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
624;4;16;14;15;20;13;15;15;16;17;13;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
625;4;16;15;17;20;16;16;16;14;16;15;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
626;4;16;13;15;19;11;14;11;15;15;13;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
627;4;17;16;18;20;15;16;15;16;17;17;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;5;Buena
628;4;16;11;15;18;11;11;10;11;12;11;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;1;Media
629;4;17;11;13;17;11;12;14;10;11;11;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;4;Media
630;5;16;13;13;14;15;12;10;15;15;15;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;2;Media
631;5;16;19;20;17;20;20;15;18;19;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
632;5;16;17;16;17;16;19;16;17;19;18;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
633;5;16;16;15;17;16;20;16;18;20;17;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
634;5;17;14;17;17;17;16;16;17;17;18;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
635;5;16;14;14;16;14;16;14;15;16;16;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
636;5;16;14;16;17;17;17;16;16;17;16;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
637;5;17;19;18;18;16;20;16;17;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
638;5;17;19;19;18;15;20;15;18;20;20;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;4;Buena
639;5;16;18;18;17;17;18;16;18;20;20;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
640;5;16;18;18;17;20;20;17;18;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
641;5;16;16;17;18;16;17;16;18;20;19;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
642;5;17;11;13;14;13;12;13;10;15;13;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;1;Media
643;5;16;13;10;14;12;11;10;9;13;13;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;1;Media
644;5;16;13;13;16;11;12;11;14;12;11;2;0;1;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
645;5;16;16;17;17;15;16;15;18;17;17;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
646;5;17;17;16;15;20;19;13;18;20;19;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
